file,status,entity_id
"Arjun-Mody-02.27.2026-278T.pdf",ok,2579.211f5caf3078fabec694c79e7a863401fa1c772f
"Bryan-Bedford-02.27.2026-278T.pdf",ok,2580.3c8ae2523a9e86d8e8bfd6d1fcf213d3e08deb98
"Bryan-Bedford-09.02.2025-278T.pdf",ok,2581.43c397c3fd8b3e4a51830567a8b71a98d6245822
"Bryan-Bedford-10.07.2025-278T.pdf",ok,2582.9d3cb69d9bac62d45f09dde5fab06f98b6ffb0d0
"Bryan-Bedford-11.03.2025-278T.pdf",ok,2583.2f920d02b9c8d4f66083a0c3a2726b1470d16f90
"Christopher-A-Wright-01.13.2026-278T.pdf",ok,2584.4867ae214e33d85ced70f0c4b9d8667700f85967
"Christopher-A-Wright-03.19.2025-278T.pdf",ok,2585.afeaf9c8f685b24f6c968028b51e7002107a7b09
"Christopher-A-Wright-04.29.2025-278T.pdf",ok,2586.16334956566eb0a271d2d1f215b31d86e44cd833
"Christopher-A-Wright-07.01.2025-278T.pdf",ok,2587.0048fdf47940edd03e80ecf625827b42140f769d
"Christopher-Lundau-05.22.2025-278T.pdf",ok,2588.4372aa86a84bb27b2f4836f8c9dd58d17647e514
"Donald J. Trump 10.17.2025 278-T.pdf",ok,2589.63f8baee18233f23d19bd8ca95cc152e831b4892
"Donald J. Trump 10.20.2025 278-T (2).pdf",ok,2590.d82fb521fd112f053e1260470fbb8b947617d1f6
"Donald J. Trump 10.20.2025 278-T.pdf",ok,2591.dc19862e1d825afb43ae41e3cac6187c88cbe1d5
"Donald J. Trump 11.14.2025 278-T.pdf",ok,2592.873d0b53f70d1598db52fc239e9c075c820b4cf2
"Donald J. Trump 12.18.2025 278-T.pdf",ok,2593.709581fac1c096a0e31288604479d688a651b965
"Donald J. Trump 2.26.2026 278-T (1).pdf",ok,2594.a0b038f1c1a9508944f38195680cef4089ae3f21
"Donald J. Trump 2.26.2026 278-T (2).pdf",ok,2595.3282aeae47c59242706822ae4341d7f30d70543b
"Donald-J-Trump 1.14.2026-278T.pdf",ok,2596.3f2d0682a53f595e5132ac8d7ec5c281f35dd89a
"Donald-J-Trump-06.25.2026-278T (2).pdf",ok,2597.2cf82cb8ff2d2d2ec20fdf62f47d469eb310cb2b
"Donald-J-Trump-06.25.2026-278T.pdf",ok,2598.76f0f9bb29a19b20b54b85fa14cc4fd74625e7f0
"Donald-J-Trump-08.12.2025-278T(2) AMENDED.pdf",ok,2599.6b98a40af8cc9715a2e994e53a51df2987aad08a
"Donald-J-Trump-08.12.2025-278T(3).pdf",ok,2600.843c50d04832d38aa0093e6eddf09160ff411a61
"Donald-J-Trump-08.12.2025-278T.pdf",ok,2601.f24fa2264dee915c46d3e558880c12c5c751e4f6
"Donald-J-Trump-4.20.2026-278T.pdf",ok,2602.42f4d4e36801c80e325af6bb306da018c888ac2a
"Doug-Burgum-09.18.2025-278T.pdf",ok,2603.4167d3a735173db1df50751848c9d4ce83a72b97
"Douglas-J-Burgum-02.27.2026-278T.pdf",ok,2604.300f8928793434d07f9415195c5a736878c1d466
"Douglas-J-Burgum-04.30.2025-278T.pdf",ok,2605.cb02ad6a19cee98e3568af8e399a196fe564ceed
"Douglas-J-Burgum-06.12.2025-278T.pdf",ok,2606.406b02ab04c768c96240c02010dcc21b160e7d77
"Douglas-J-Burgum-11.13.2025-278T.pdf",ok,2607.3e61dc359d47f21257a408a83446cedfa2afc5a7
"Eric-Scott-Turner-01.16.2026-278T.pdf",ok,2608.65e81f0260b2297282d1c1fc89835f09a99834cd
"Eric-Scott-Turner-03.04.2025-278T.pdf",ok,2609.ada1b5bff1660b8b4c322dcf13fa443d62712fb1
"Frank-J-Bisignano-02.10.2026-278T.pdf",ok,2610.a9d749df172545a242eb0e3a8dac466eed110117
"Frank-J-Bisignano-06.26.2025-278T.pdf",ok,2611.dd285fef4b76ef2c92514dde9d1a478011cd7171
"Frank-J-Bisignano-07.03.2025-278T.pdf",ok,2612.a7476915c154c40ab19d60e0847db0eadff6174c
"Frank-J-Bisignano-08.08.2025-278T.pdf",ok,2613.fb3e24e2ca56928592a4e1b489981079ad18eca9
"Frank-J-Bisignano-09.09.2025-278T.pdf",ok,2614.e885cf0ff7f6b9d06b11a834ee81297fb415e84a
"Howard-Lutnick-06.17.2025-278T.pdf",ok,2615.bb11913e1e30e80cca959881375d771d50da16b1
"Howard-Lutnick-11.05.2025-278T.pdf",ok,2616.19d68dbc4e4b0090181055382a4c42e59c494356
"Jared-Isaacman-03.16.2026-278T.pdf",ok,2617.16f4a8a7d5a8bf0dbc2e3ef4e4c79a4c78b6c14e
"Jared-Isaacman-05.27.2026-278T.pdf",ok,2618.f6912a34a692f2e67db184ada11eda278151080c
"John-Phelan-01.09.2026-278T.pdf",ok,2619.ca8d8720beb04da8f91383e70b95e9307cdd7aeb
"John-Phelan-03.12.2026-278T(1).pdf",ok,2620.c06a99da7899d793426e0b035bc487c5032f4093
"John-Phelan-03.12.2026-278T(2).pdf",ok,2621.5e8d281025ee4c37d9114d3c00c0e058fb3e1a3c
"John-Phelan-03.12.2026-278T(3).pdf",ok,2622.5610313d84eecb8435b9e9fca5405b1d6d6a673c
"John-Phelan-03.12.2026-278T.pdf",ok,2623.cb2446f2fec5200e507f724a21230d07cbafa769
"John-Phelan-05.12.2026-278T(1).pdf",ok,2624.a95ef1df9aa6235be411362dd2af226c5ce47117
"John-Phelan-05.12.2026-278T.pdf",ok,2625.92bbbc916595882be3eb0b7975adce9bb33e75d5
"John-Phelan-05.20.2025-278T.pdf",ok,2626.7425129fa2b62844918f691161576e8060fc7028
"John-Phelan-07.28.2025-278T(2).pdf",ok,2627.0fb4b3c7e26d119f8109c346d0c3519b8751c07e
"John-Phelan-10.02.2025-278T(2).pdf",ok,2628.f7c8ee0bd10b4ed5dce4b5af6f7f20361cf4ef44
"John-Phelan-10.02.2025-278T.pdf",ok,2629.7754d21611153208aef3789f3f05a6408f28a66a
"John-Phelan-11.17.2025-278T(1).pdf",ok,2630.36e3da6b25ad9984e09cd17ed781475daccf1137
"John-Phelan-11.17.2025-278T(2).pdf",ok,2631.b3789981ed10559461030125dcc867445c4c302a
"Katharine-MacGregor-08.07.2025-278T.pdf",ok,2632.001746e3b51c9c998b9376349f5c6b55b53a3334
"Keith-Sonderling-04.21.2025-278T.pdf",ok,2633.1be0bb6ae40fd6ec824e8947945058c423db064e
"Kristi-Noem-07.23.2025-278T.pdf",ok,2634.e9e6f9f65b5f3c867beeeb71ba3c9fe8267c8c59
"Lee-Zeldin-06.17.2025-278T.pdf",ok,2635.eaa31ce4daf625e92c17b7c8386ef295da75d767
"Linda-E-McMahon-05.30.2025-278T.pdf",ok,2636.fd03139bbf12c417e2d402327b0be8c1161a258b
"Linda-McMahon-07.02.2025-278T.pdf",ok,2637.e90262cf5d27a55272a071b769dfc87968a07f55
"Lori-Chavez-DeRemer-07.02.2025-278T.pdf",ok,2638.0ec8ebec8734e8daabe5d472fb827bb0b8dd0d9f
"Michael-J-Kratsios-01.10.2026-278T.pdf",ok,2639.f10cc3d4207a301755b0489e7267665327c6b567
"Michael-J-Kratsios-03.18.2025-278T.pdf",ok,2640.7075c6a0f066f2f9df23c25c858e0c2d51ada9e6
"Michael-J-Kratsios-03.29.2026-278T.pdf",ok,2641.c7ff48dbee51a8aa7a63df4463faed0420f1273e
"Michael-J-Kratsios-04.18.2025-278T.pdf",ok,2642.1c1d655c6b39c57b2dcedfed1c063ff04f68d094
"Michael-J-Kratsios-05.11.2025-278T.pdf",ok,2643.3d23d6ecac80c3b423cc6592c1ee4a869b5034e4
"Michael-J-Kratsios-06.09.2025-278T.pdf",ok,2644.2ab2d80a4ce5b65ef9eb15c778fa87b36f250148
"Michael-J-Kratsios-06.24.2025-278T.pdf",ok,2645.4707e396fc67b20baf26e1d207f14778d0b5201e
"Michael-J-Kratsios-07.15.2025-278T.pdf",ok,2646.2d4cf2efc641d1d9647cf38a50b1cf64f53674dc
"Michael-J-Kratsios-07.25.2025-278T.pdf",ok,2647.4bd26b46d3fd1b1896feefa2757c966d360d6742
"Michael-Kratsios-08.19.2025-278T.pdf",ok,2648.8f72a134ab0c9bb2fa2ddcc251c741cc740ece34
"Michael-W-Faulkender-06.26.2025-278T.pdf",ok,2649.1786a25ffac8ab5ca1d771ab038714fc14660d1f
"Pam-Bondi-05.05.2025-278T.pdf",ok,2650.e6957bbe6ca3f0417bc995adf6b6a49dca70c711
"Paul-R-Lawrence-06.11.2025-278T.pdf",ok,2651.13e4585e6a471a590caab2b5b280986b75f511c0
"Pete-Hegseth-04.11.2025-278T.pdf",ok,2652.ee81f0a89e8cd979480e7131886438eaa3ec86fb
"Robert-F-Kennedy-Jr-05.09.2025-278T.pdf",ok,2653.a2c59ec0b06a2e41cb792628a810fec1f83fc5b7
"Sara-Bailey-04.01.2026-278T.pdf",ok,2654.f205042117c93b2b8204ec0e4897228bffca0a5c
"Scott-A-Kupor-01.09.2026-278T.pdf",ok,2655.033896af5a8c324217705f29b7521d9bc3f65f03
"Scott-A-Kupor-02.06.2026-278T.pdf",ok,2656.bf3cf604867cca6e176efa26322fecc5330b8191
"Scott-A-Kupor-04.20.2026-278T.pdf",ok,2657.45461ab5bb5454a93a4b5148cb5cda0c4568f3f1
"Scott-A-Kupor-07.28.2025-278T.pdf",ok,2658.a3e97e0c49213ed85aaa27bc89d50f8e8b8ba271
"Scott-A-Kupor-09.02.2025-278T.pdf",ok,2659.b329db58e66cbe128158fdbd9a7ca0e5151b13a0
"Scott-A-Kupor-09.12.2025-278T.pdf",ok,2660.7d70a04a728c2db3c552f1e89138804c60b2f56d
"Scott-A-Kupor-09.26.2025-278T.pdf",ok,2661.d4b5f0a13e1b754ab38135ad4a24261df11bdb89
"Scott-A-Kupor-10.08.2025-278T.pdf",ok,2662.3260bb8d6c1ee7097c52a324d2260f7c35f000e9
"Scott-Bessent-07.14.2025-278T.pdf",ok,2663.b7dacfecdfc3fd7d1a71182deb7479ee8100cb86
"Scott-Bessent-12.05.2025-278T.pdf",ok,2664.8cafd2458984b0ab59deae303a84f0a5f710db44
"Sean-Duffy-04.23.2025-278T.pdf",ok,2665.20eaedd7923f15313d32fa8c06cbf9bd3699c991
"Sean-McMaster-01.20.2026-278T.pdf",ok,2666.f972da456293168724636361d0e05040369c3844
"Sean-McMaster-02.27.2026-278T.pdf",ok,2667.2ac38a5348fead61704e8bea569bd7d9f1a580e8
"Sean-McMaster-09.29.2025-278T.pdf",ok,2668.7e3b7de561da9ba2cdd117d1ca29f00f88b269a1
"Sean-McMaster-12.01.2025-278T.pdf",ok,2669.14d921c9c744d216279b356676b01ddc2cf02c7f
"Sean-McMaster-12.11.2025-278T.pdf",ok,2670.f30f52a1158459924fcf4b4187a3a52a113be065
"Stacey-Dixon-02.10.2025-278T.pdf",ok,2671.b94f6b80d69bc84319db576885c699da61d92447
"Stephen-A-Vaden-03.19.2026-278T.pdf",ok,2672.8395ebece1ce9231e0dfd978042e568137d73098
"Stephen-I-Miran-04.03.2026-278T.pdf",ok,2673.8fcf48b3fa822dfcd5c8c447c83d69cb4eed8784
"Stephen-I-Miran-07.21.2025-278T.pdf",ok,2674.396446e0e42693bc99759bb1233c4042a40a0af0
"Stephen-I-Miran-12.03.2025-278T.pdf",ok,2675.83461cffe76c5499894f3a80502d87c5d8754985
"Todd-Blanche-06.03.2025-278T.pdf",ok,2676.5be05ced740128ac9c53dc27a8130cbdb770e545
"Troy-D-Edgar-05.01.2025-278T.pdf",ok,2677.7e2f886d3b9d25c63f9adc4b44a89e807dd9b287
"Trump, Donald J.-05.08.2026-278T(2).pdf",ok,2678.888f5f11218dbec08e2cb60c7db3a8a1140cdaff
"Trump, Donald J.-05.08.2026-278T.pdf",ok,2679.de0a945173d1ea52f5bddbfeb9c9e6e21c31325a
"Tulsi-Gabbard-05.21.2025-278T.pdf",ok,2680.c9497221b430fbbce891105f0fac889eb0f65990
